Question_ID,Subject,Year,Exam_Name,Question_Type,Marks,Difficulty_Level,Topic,Repeated_Count,Last_Appearance_Year,Exam_Date,,,,,,,,,,
Q0029,Physics,2021,Exam_2,Numerical,2,Hard,Genetics,6,2023,12-11-2023,,,,,,,,,,
Q0030,Maths,2025,Exam_2,MCQ,5,Easy,Programming,4,2025,1/14/2019,,,,,,,,,,
Q0031,Chemistry,2017,Exam_3,Numerical,15,Medium,Genetics,7,2021,2/14/2019,,,,,,,,,,
Q0032,Computer Science,2022,Exam_4,Numerical,2,Hard,Mechanics,6,2025,7/22/2017,,,,,,,,,,
Q0033,Biology,2025,Exam_5,Long Answer,10,Easy,Genetics,10,2025,3/24/2015,,,,,,,,,,
Q0034,Chemistry,2015,Exam_2,Long Answer,5,Easy,Algebra,6,2020,6/19/2015,,,,,,,,,,
Q0035,Physics,2023,Exam_5,Numerical,10,Medium,Mechanics,0,2024,06-07-2020,,,,,,,,,,
Q0036,Biology,2016,Exam_1,Short Answer,5,Hard,Genetics,5,2021,5/28/2017,,,,,,,,,,
Q0037,Biology,2025,Exam_1,Numerical,10,Easy,Algebra,1,2025,4/20/2021,,,,,,,,,,
Q0038,Computer Science,2015,Exam_4,Short Answer,2,Easy,Algebra,7,2018,6/15/2022,,,,,,,,,,
Q0039,Chemistry,2024,Exam_1,Numerical,15,Medium,Algebra,4,2025,9/18/2020,,,,,,,,,,
Q0040,Maths,2018,Exam_1,Numerical,2,Medium,Mechanics,2,2022,5/22/2019,,,,,,,,,,
Q0041,Chemistry,2022,Exam_4,Short Answer,10,Hard,Organic,8,2025,12/16/2019,,,,,,,,,,
Q0042,Chemistry,2016,Exam_4,Long Answer,2,Hard,Algebra,9,2017,10/24/2016,,,,,,,,,,
Q0043,Biology,2022,Exam_4,MCQ,5,Medium,Programming,10,2022,08-09-2016,,,,,,,,,,
Q0044,Chemistry,2024,Exam_4,MCQ,2,Easy,Genetics,4,2024,10/22/2021,,,,,,,,,,
Q0045,Physics,2017,Exam_1,Long Answer,10,Easy,Mechanics,4,2024,03-06-2023,,,,,,,,,,
Q0046,Physics,2023,Exam_1,Long Answer,10,Hard,Organic,5,2024,11-07-2019,,,,,,,,,,
Q0047,Physics,2017,Exam_2,Short Answer,15,Medium,Mechanics,2,2019,06-10-2023,,,,,,,,,,
Q0048,Biology,2017,Exam_3,Long Answer,15,Medium,Algebra,4,2018,10-08-2022,,,,,,,,,,
Q0049,Physics,2016,Exam_1,Short Answer,10,Medium,Algebra,0,2020,11/24/2020,,,,,,,,,,
Q0050,Biology,2016,Exam_5,Long Answer,2,Hard,Genetics,0,2018,4/13/2017,,,,,,,,,,
Q0051,Biology,2022,Exam_5,Numerical,10,Medium,Genetics,2,2024,05-04-2016,,,,,,,,,,
Q0052,Biology,2022,Exam_2,Numerical,15,Hard,Programming,8,2024,09-12-2017,,,,,,,,,,
Q0053,Maths,2019,Exam_4,Short Answer,10,Medium,Organic,10,2022,11/19/2021,,,,,,,,,,
Q0054,Physics,2020,Exam_1,Numerical,2,Easy,Organic,2,2021,8/31/2020,,,,,,,,,,
Q0055,Physics,2019,Exam_3,Long Answer,10,Medium,Algebra,6,2021,3/26/2015,,,,,,,,,,
Q0056,Computer Science,2023,Exam_4,Numerical,5,Hard,Mechanics,9,2024,7/13/2018,,,,,,,,,,
Q0057,Chemistry,2024,Exam_2,MCQ,2,Easy,Programming,1,2024,10/20/2018,,,,,,,,,,
Q0058,Physics,2016,Exam_2,Numerical,10,Hard,Mechanics,2,2022,5/18/2023,,,,,,,,,,
Q0059,Chemistry,2016,Exam_5,Short Answer,15,Medium,Genetics,8,2020,5/17/2017,,,,,,,,,,
Q0060,Biology,2020,Exam_3,Numerical,10,Medium,Genetics,4,2020,3/24/2017,,,,,,,,,,
Q0061,Biology,2020,Exam_5,Long Answer,2,Medium,Programming,7,2023,2/23/2023,,,,,,,,,,
Q0062,Physics,2015,Exam_4,Numerical,10,Medium,Mechanics,3,2020,7/28/2023,,,,,,,,,,
Q0063,Maths,2024,Exam_4,MCQ,10,Medium,Programming,5,2025,4/14/2023,,,,,,,,,,
Q0064,Biology,2023,Exam_5,Numerical,2,Hard,Programming,4,2024,4/13/2018,,,,,,,,,,
Q0065,Chemistry,2020,Exam_5,Long Answer,15,Hard,Algebra,6,2025,11-08-2020,,,,,,,,,,
Q0066,Biology,2016,Exam_1,Short Answer,5,Easy,Algebra,3,2016,07-02-2021,,,,,,,,,,
Q0067,Computer Science,2021,Exam_3,Long Answer,5,Hard,Organic,7,2021,11-05-2024,,,,,,,,,,
Q0068,Computer Science,2019,Exam_5,Numerical,15,Easy,Algebra,9,2025,03-03-2023,,,,,,,,,,
Q0069,Biology,2021,Exam_3,MCQ,5,Easy,Programming,1,2024,1/18/2020,,,,,,,,,,
Q0070,Computer Science,2023,Exam_5,MCQ,2,Medium,Genetics,7,2024,03-02-2016,,,,,,,,,,
Q0071,Chemistry,2019,Exam_3,Numerical,10,Hard,Organic,6,2020,5/27/2019,,,,,,,,,,
Q0072,Chemistry,2016,Exam_2,Long Answer,10,Hard,Mechanics,1,2023,3/28/2024,,,,,,,,,,
Q0073,Chemistry,2025,Exam_4,Numerical,10,Medium,Genetics,0,2025,8/19/2019,,,,,,,,,,
Q0074,Computer Science,2018,Exam_3,Numerical,2,Medium,Algebra,2,2022,03-11-2023,,,,,,,,,,
Q0075,Biology,2021,Exam_1,Short Answer,2,Medium,Algebra,3,2024,5/14/2015,,,,,,,,,,
Q0076,Computer Science,2015,Exam_5,Long Answer,15,Hard,Mechanics,0,2021,5/29/2017,,,,,,,,,,
Q0077,Computer Science,2024,Exam_4,Numerical,5,Easy,Mechanics,4,2024,10/19/2017,,,,,,,,,,
Q0078,Biology,2019,Exam_5,Long Answer,15,Hard,Algebra,4,2023,07-06-2016,,,,,,,,,,
Q0079,Computer Science,2023,Exam_2,Long Answer,15,Medium,Mechanics,5,2024,7/23/2019,,,,,,,,,,
Q0080,Computer Science,2021,Exam_5,MCQ,10,Easy,Organic,2,2025,8/24/2017,,,,,,,,,,
Q0081,Maths,2023,Exam_4,Numerical,5,Medium,Genetics,5,2023,06-01-2022,,,,,,,,,,
Q0082,Computer Science,2022,Exam_5,Numerical,5,Easy,Programming,2,2024,06-03-2024,,,,,,,,,,
Q0083,Biology,2021,Exam_5,Numerical,2,Hard,Algebra,5,2021,06-09-2015,,,,,,,,,,
Q0084,Biology,2024,Exam_2,Numerical,15,Hard,Organic,9,2025,10-10-2023,,,,,,,,,,
Q0085,Biology,2024,Exam_5,Numerical,5,Easy,Organic,5,2025,4/19/2015,,,,,,,,,,
Q0086,Chemistry,2015,Exam_2,MCQ,5,Hard,Genetics,4,2018,10-12-2019,,,,,,,,,,
Q0087,Computer Science,2015,Exam_1,Short Answer,2,Hard,Mechanics,5,2019,9/14/2022,,,,,,,,,,
Q0088,Chemistry,2015,Exam_5,Short Answer,2,Easy,Mechanics,5,2025,4/13/2023,,,,,,,,,,
Q0089,Computer Science,2022,Exam_1,Numerical,5,Hard,Genetics,9,2022,12/22/2020,,,,,,,,,,
Q0090,Chemistry,2024,Exam_3,Numerical,15,Hard,Organic,5,2024,11/30/2018,,,,,,,,,,
Q0091,Maths,2020,Exam_1,Short Answer,10,Medium,Organic,3,2024,06-01-2020,,,,,,,,,,
Q0092,Chemistry,2025,Exam_5,MCQ,2,Easy,Mechanics,6,2025,10/22/2022,,,,,,,,,,
Q0093,Chemistry,2025,Exam_4,Short Answer,2,Medium,Programming,2,2025,08-12-2015,,,,,,,,,,
Q0094,Computer Science,2021,Exam_1,Short Answer,15,Hard,Genetics,7,2023,8/30/2015,,,,,,,,,,
Q0095,Physics,2022,Exam_5,Long Answer,2,Hard,Mechanics,3,2025,05-01-2016,,,,,,,,,,
Q0096,Computer Science,2024,Exam_1,Numerical,5,Medium,Algebra,7,2024,11/15/2020,,,,,,,,,,
Q0097,Biology,2020,Exam_3,Numerical,15,Easy,Organic,7,2022,12/19/2015,,,,,,,,,,
Q0098,Computer Science,2024,Exam_3,MCQ,5,Hard,Programming,0,2024,1/24/2017,,,,,,,,,,
Q0099,Chemistry,2024,Exam_5,Long Answer,5,Hard,Algebra,5,2025,04-06-2017,,,,,,,,,,
Q0100,Computer Science,2015,Exam_4,MCQ,2,Easy,Mechanics,5,2023,5/20/2023,,,,,,,,,,
Q0101,Biology,2021,Exam_4,Short Answer,10,Easy,Genetics,6,2025,02-06-2023,,,,,,,,,,
Q0102,Biology,2025,Exam_5,Numerical,10,Medium,Algebra,0,2025,10-02-2023,,,,,,,,,,
Q0103,Maths,2021,Exam_4,MCQ,10,Easy,Programming,9,2022,5/25/2018,,,,,,,,,,
Q0104,Physics,2022,Exam_4,Long Answer,2,Medium,Algebra,2,2022,10-09-2024,,,,,,,,,,
Q0105,Maths,2020,Exam_5,Short Answer,5,Easy,Organic,8,2020,10/30/2015,,,,,,,,,,
Q0106,Biology,2020,Exam_2,Long Answer,2,Medium,Algebra,9,2023,06-11-2017,,,,,,,,,,
Q0107,Biology,2025,Exam_5,Long Answer,15,Medium,Mechanics,7,2025,03-03-2021,,,,,,,,,,
Q0108,Chemistry,2021,Exam_3,Short Answer,10,Easy,Mechanics,1,2023,09-08-2022,,,,,,,,,,
Q0109,Biology,2021,Exam_3,MCQ,10,Easy,Mechanics,3,2023,8/17/2022,,,,,,,,,,
Q0110,Maths,2021,Exam_1,Short Answer,2,Hard,Programming,1,2025,10/23/2019,,,,,,,,,,
Q0111,Computer Science,2020,Exam_2,Short Answer,15,Easy,Programming,8,2021,12-02-2015,,,,,,,,,,
Q0112,Biology,2019,Exam_1,MCQ,15,Medium,Programming,4,2022,10/16/2019,,,,,,,,,,
Q0113,Computer Science,2015,Exam_4,Short Answer,15,Easy,Mechanics,7,2025,5/20/2021,,,,,,,,,,
Q0114,Chemistry,2017,Exam_3,Numerical,15,Easy,Algebra,1,2017,01-01-2023,,,,,,,,,,
Q0115,Physics,2025,Exam_4,Long Answer,5,Hard,Mechanics,4,2025,3/26/2022,,,,,,,,,,
Q0116,Maths,2023,Exam_1,Short Answer,2,Medium,Genetics,8,2025,03-11-2015,,,,,,,,,,
Q0117,Chemistry,2020,Exam_2,Numerical,10,Easy,Genetics,3,2023,7/18/2015,,,,,,,,,,
Q0118,Computer Science,2022,Exam_4,MCQ,10,Easy,Genetics,7,2024,7/29/2016,,,,,,,,,,
Q0119,Maths,2018,Exam_2,Long Answer,2,Easy,Genetics,6,2023,2/15/2023,,,,,,,,,,
Q0120,Chemistry,2016,Exam_1,Long Answer,10,Easy,Organic,4,2022,10-09-2015,,,,,,,,,,
Q0121,Physics,2016,Exam_3,Short Answer,10,Hard,Genetics,9,2019,1/27/2021,,,,,,,,,,
Q0122,Biology,2024,Exam_1,Numerical,10,Hard,Algebra,10,2025,09-12-2021,,,,,,,,,,
Q0123,Biology,2019,Exam_4,Numerical,2,Easy,Genetics,4,2025,10/29/2023,,,,,,,,,,
Q0124,Maths,2019,Exam_1,Long Answer,2,Hard,Genetics,0,2019,06-06-2017,,,,,,,,,,
Q0125,Chemistry,2018,Exam_1,Numerical,15,Hard,Algebra,2,2022,1/25/2022,,,,,,,,,,
Q0126,Computer Science,2024,Exam_4,Short Answer,5,Easy,Algebra,6,2025,1/29/2020,,,,,,,,,,
Q0127,Maths,2021,Exam_3,Numerical,5,Medium,Organic,2,2025,07-08-2021,,,,,,,,,,
Q0128,Maths,2023,Exam_4,Numerical,10,Medium,Algebra,6,2024,05-10-2018,,,,,,,,,,
Q0129,Biology,2015,Exam_4,MCQ,10,Hard,Programming,3,2021,06-10-2015,,,,,,,,,,
Q0130,Computer Science,2024,Exam_5,Short Answer,5,Easy,Mechanics,2,2025,4/17/2022,,,,,,,,,,
Q0131,Physics,2022,Exam_1,MCQ,2,Easy,Algebra,0,2022,6/17/2017,,,,,,,,,,
Q0132,Maths,2020,Exam_5,Long Answer,10,Easy,Mechanics,10,2024,8/31/2016,,,,,,,,,,
Q0133,Chemistry,2021,Exam_2,Short Answer,2,Easy,Organic,8,2024,8/19/2023,,,,,,,,,,
Q0134,Chemistry,2017,Exam_3,Long Answer,15,Hard,Mechanics,8,2022,03-09-2024,,,,,,,,,,
Q0135,Maths,2024,Exam_5,MCQ,15,Easy,Programming,1,2025,10/18/2023,,,,,,,,,,
Q0136,Physics,2022,Exam_3,Long Answer,5,Medium,Algebra,7,2023,12/21/2024,,,,,,,,,,
Q0137,Physics,2025,Exam_3,Long Answer,15,Hard,Organic,3,2025,4/26/2017,,,,,,,,,,
Q0138,Maths,2018,Exam_3,Long Answer,2,Medium,Mechanics,0,2024,4/13/2019,,,,,,,,,,
Q0139,Computer Science,2018,Exam_4,Short Answer,15,Easy,Mechanics,2,2019,12/14/2017,,,,,,,,,,
Q0140,Biology,2022,Exam_2,Numerical,5,Medium,Algebra,3,2023,6/21/2016,,,,,,,,,,
Q0141,Chemistry,2023,Exam_3,Long Answer,5,Hard,Algebra,3,2024,5/24/2022,,,,,,,,,,
Q0142,Computer Science,2025,Exam_1,Long Answer,10,Medium,Mechanics,4,2025,12/20/2016,,,,,,,,,,
Q0143,Physics,2016,Exam_2,Short Answer,10,Hard,Programming,7,2024,07-08-2015,,,,,,,,,,
Q0144,Physics,2025,Exam_1,Numerical,2,Hard,Algebra,2,2025,12/21/2016,,,,,,,,,,
Q0145,Biology,2022,Exam_2,Long Answer,5,Hard,Mechanics,9,2024,9/22/2016,,,,,,,,,,
Q0146,Biology,2016,Exam_2,Long Answer,2,Medium,Genetics,0,2019,5/23/2017,,,,,,,,,,
Q0147,Physics,2015,Exam_4,Long Answer,2,Medium,Programming,7,2025,07-04-2018,,,,,,,,,,
Q0148,Maths,2017,Exam_5,Short Answer,10,Medium,Organic,8,2025,1/18/2024,,,,,,,,,,
Q0149,Chemistry,2018,Exam_5,Numerical,2,Medium,Genetics,8,2019,08-03-2024,,,,,,,,,,
Q0150,Physics,2022,Exam_5,Numerical,2,Easy,Genetics,6,2025,1/19/2019,,,,,,,,,,
Q0151,Computer Science,2019,Exam_4,MCQ,2,Hard,Programming,5,2024,12-09-2019,,,,,,,,,,
Q0152,Physics,2019,Exam_4,Short Answer,15,Hard,Programming,2,2023,06-01-2022,,,,,,,,,,
Q0153,Physics,2018,Exam_5,Long Answer,15,Medium,Organic,7,2024,6/26/2020,,,,,,,,,,
Q0154,Physics,2024,Exam_3,MCQ,2,Easy,Genetics,8,2025,02-06-2016,,,,,,,,,,
Q0155,Maths,2021,Exam_2,Short Answer,2,Easy,Organic,5,2023,03-10-2015,,,,,,,,,,
Q0156,Maths,2022,Exam_5,Numerical,2,Hard,Mechanics,8,2023,01-09-2023,,,,,,,,,,
Q0157,Physics,2019,Exam_2,MCQ,5,Hard,Algebra,6,2022,4/30/2015,,,,,,,,,,
Q0158,Chemistry,2016,Exam_5,Long Answer,5,Easy,Mechanics,6,2022,10/29/2024,,,,,,,,,,
Q0159,Biology,2020,Exam_3,Long Answer,2,Hard,Mechanics,5,2024,5/27/2021,,,,,,,,,,
Q0160,Chemistry,2015,Exam_4,MCQ,10,Easy,Organic,4,2018,03-10-2015,,,,,,,,,,
Q0161,Computer Science,2018,Exam_2,Short Answer,2,Easy,Genetics,9,2021,11-02-2019,,,,,,,,,,
Q0162,Chemistry,2019,Exam_3,Long Answer,2,Easy,Programming,1,2025,6/14/2019,,,,,,,,,,
Q0163,Maths,2020,Exam_3,MCQ,15,Medium,Mechanics,1,2023,07-04-2024,,,,,,,,,,
Q0164,Biology,2016,Exam_1,MCQ,15,Hard,Algebra,2,2018,2/27/2020,,,,,,,,,,
Q0165,Computer Science,2016,Exam_5,Short Answer,2,Easy,Organic,6,2025,11-08-2016,,,,,,,,,,
Q0166,Computer Science,2021,Exam_1,MCQ,2,Easy,Mechanics,8,2025,06-09-2024,,,,,,,,,,
Q0167,Physics,2024,Exam_5,Long Answer,15,Medium,Organic,4,2025,11/14/2023,,,,,,,,,,
Q0168,Physics,2016,Exam_4,Long Answer,5,Medium,Mechanics,10,2022,2/19/2022,,,,,,,,,,
Q0169,Physics,2022,Exam_1,Numerical,15,Easy,Genetics,8,2023,7/20/2015,,,,,,,,,,
Q0170,Chemistry,2023,Exam_5,Long Answer,5,Hard,Mechanics,9,2024,2/24/2020,,,,,,,,,,
Q0171,Maths,2015,Exam_3,Long Answer,15,Easy,Mechanics,7,2023,10/16/2024,,,,,,,,,,
Q0172,Maths,2020,Exam_2,MCQ,10,Hard,Organic,6,2022,05-06-2018,,,,,,,,,,
Q0173,Chemistry,2024,Exam_5,Short Answer,2,Medium,Organic,3,2024,1/28/2018,,,,,,,,,,
Q0174,Maths,2019,Exam_1,Numerical,15,Hard,Genetics,1,2025,3/31/2016,,,,,,,,,,
Q0175,Physics,2016,Exam_4,Long Answer,10,Easy,Algebra,1,2020,11/23/2015,,,,,,,,,,
Q0176,Biology,2025,Exam_3,MCQ,2,Medium,Algebra,10,2025,8/13/2018,,,,,,,,,,
Q0177,Chemistry,2017,Exam_3,Numerical,2,Medium,Programming,5,2020,2/23/2022,,,,,,,,,,
Q0178,Chemistry,2022,Exam_5,MCQ,5,Hard,Mechanics,3,2022,3/19/2015,,,,,,,,,,
Q0179,Maths,2018,Exam_5,MCQ,5,Medium,Organic,1,2024,5/14/2022,,,,,,,,,,
Q0180,Chemistry,2017,Exam_4,Short Answer,2,Medium,Mechanics,6,2021,01-12-2018,,,,,,,,,,
Q0181,Physics,2024,Exam_1,Short Answer,2,Easy,Mechanics,10,2025,5/16/2024,,,,,,,,,,
Q0182,Chemistry,2019,Exam_5,Numerical,2,Hard,Programming,10,2022,05-12-2024,,,,,,,,,,
Q0183,Computer Science,2020,Exam_5,Numerical,10,Easy,Programming,6,2024,10-10-2024,,,,,,,,,,
Q0184,Chemistry,2017,Exam_2,Short Answer,2,Easy,Genetics,7,2021,08-09-2022,,,,,,,,,,
Q0185,Computer Science,2021,Exam_4,Short Answer,2,Hard,Genetics,4,2022,7/13/2024,,,,,,,,,,
Q0186,Biology,2015,Exam_4,MCQ,2,Easy,Organic,10,2017,05-04-2019,,,,,,,,,,
Q0187,Chemistry,2019,Exam_4,Numerical,5,Hard,Genetics,7,2021,02-06-2017,,,,,,,,,,
Q0188,Maths,2021,Exam_3,Short Answer,15,Hard,Organic,7,2025,11/15/2017,,,,,,,,,,
Q0189,Chemistry,2025,Exam_2,Numerical,2,Easy,Organic,7,2025,9/29/2015,,,,,,,,,,
Q0190,Biology,2017,Exam_5,MCQ,2,Easy,Organic,2,2018,12/21/2021,,,,,,,,,,
Q0191,Computer Science,2023,Exam_5,Numerical,10,Hard,Mechanics,0,2024,5/29/2015,,,,,,,,,,
Q0192,Chemistry,2020,Exam_4,Short Answer,2,Medium,Mechanics,4,2025,10/27/2017,,,,,,,,,,
Q0193,Physics,2021,Exam_1,MCQ,15,Easy,Genetics,3,2021,5/26/2018,,,,,,,,,,
Q0194,Maths,2023,Exam_3,Long Answer,2,Easy,Mechanics,8,2023,12/25/2021,,,,,,,,,,
Q0195,Maths,2021,Exam_5,MCQ,15,Easy,Genetics,2,2024,5/28/2017,,,,,,,,,,
Q0196,Biology,2016,Exam_5,Short Answer,10,Medium,Organic,1,2024,8/22/2019,,,,,,,,,,
Q0197,Biology,2024,Exam_1,Short Answer,2,Easy,Organic,10,2025,06-10-2023,,,,,,,,,,
Q0198,Maths,2016,Exam_1,MCQ,15,Easy,Organic,4,2017,2/29/2020,,,,,,,,,,
Q0199,Computer Science,2022,Exam_4,Numerical,10,Hard,Algebra,0,2024,08-02-2018,,,,,,,,,,
Q0200,Chemistry,2021,Exam_2,Long Answer,15,Hard,Mechanics,8,2022,5/22/2016,,,,,,,,,,
Q0201,Physics,2023,Exam_3,Long Answer,5,Easy,Organic,8,2024,11/23/2022,,,,,,,,,,
Q0202,Physics,2015,Exam_5,Long Answer,10,Easy,Organic,6,2024,05-07-2016,,,,,,,,,,
Q0203,Biology,2016,Exam_3,Short Answer,15,Easy,Mechanics,3,2025,5/23/2021,,,,,,,,,,
Q0204,Biology,2018,Exam_2,Numerical,15,Medium,Mechanics,6,2024,06-09-2017,,,,,,,,,,
Q0205,Biology,2025,Exam_2,Numerical,15,Medium,Mechanics,2,2025,12/28/2015,,,,,,,,,,
Q0206,Maths,2020,Exam_2,Numerical,5,Easy,Mechanics,2,2021,12/31/2022,,,,,,,,,,
Q0207,Maths,2015,Exam_3,Numerical,2,Hard,Organic,0,2019,07-02-2015,,,,,,,,,,
Q0208,Computer Science,2017,Exam_3,Short Answer,5,Hard,Mechanics,8,2022,4/22/2021,,,,,,,,,,
Q0209,Physics,2015,Exam_5,Numerical,2,Hard,Programming,2,2020,04-02-2020,,,,,,,,,,
Q0210,Maths,2018,Exam_2,Numerical,2,Medium,Mechanics,6,2022,09-11-2017,,,,,,,,,,
Q0211,Chemistry,2020,Exam_1,Short Answer,2,Medium,Genetics,2,2025,3/22/2015,,,,,,,,,,
Q0212,Computer Science,2022,Exam_5,MCQ,2,Medium,Organic,9,2024,10-11-2015,,,,,,,,,,
Q0213,Chemistry,2025,Exam_4,MCQ,10,Easy,Programming,4,2025,11/30/2020,,,,,,,,,,
Q0214,Physics,2019,Exam_3,Numerical,2,Hard,Genetics,1,2020,5/19/2018,,,,,,,,,,
Q0215,Biology,2022,Exam_2,MCQ,2,Easy,Organic,10,2023,08-05-2015,,,,,,,,,,
Q0216,Biology,2017,Exam_2,Numerical,15,Medium,Programming,1,2017,7/27/2018,,,,,,,,,,
Q0217,Maths,2022,Exam_2,Numerical,15,Medium,Programming,6,2025,6/18/2021,,,,,,,,,,
Q0218,Physics,2021,Exam_3,Long Answer,2,Easy,Organic,0,2022,03-07-2020,,,,,,,,,,
Q0219,Biology,2017,Exam_3,Short Answer,2,Medium,Organic,10,2025,1/14/2020,,,,,,,,,,
Q0220,Chemistry,2018,Exam_1,MCQ,5,Hard,Programming,9,2022,02-03-2019,,,,,,,,,,
Q0221,Biology,2018,Exam_3,MCQ,2,Hard,Organic,4,2024,04-01-2021,,,,,,,,,,
Q0222,Computer Science,2016,Exam_4,Numerical,2,Easy,Organic,8,2016,10-06-2021,,,,,,,,,,
Q0223,Chemistry,2018,Exam_5,Numerical,2,Easy,Algebra,2,2019,08-12-2019,,,,,,,,,,
Q0224,Chemistry,2016,Exam_3,Long Answer,15,Medium,Algebra,0,2023,02-06-2018,,,,,,,,,,
Q0225,Maths,2017,Exam_3,Long Answer,10,Hard,Mechanics,4,2020,2/19/2022,,,,,,,,,,
Q0226,Chemistry,2020,Exam_3,Long Answer,5,Hard,Genetics,10,2024,10-04-2017,,,,,,,,,,
Q0227,Biology,2025,Exam_4,MCQ,15,Hard,Genetics,2,2025,01-08-2019,,,,,,,,,,
Q0228,Physics,2018,Exam_3,Short Answer,5,Medium,Mechanics,2,2018,11/18/2024,,,,,,,,,,
Q0229,Maths,2015,Exam_4,Short Answer,5,Easy,Algebra,8,2023,04-12-2017,,,,,,,,,,
Q0230,Physics,2022,Exam_3,MCQ,5,Medium,Algebra,5,2023,10/15/2021,,,,,,,,,,
Q0231,Chemistry,2019,Exam_4,Numerical,2,Hard,Programming,3,2021,2/28/2018,,,,,,,,,,
Q0232,Computer Science,2024,Exam_5,MCQ,2,Hard,Programming,7,2025,5/15/2017,,,,,,,,,,
Q0233,Maths,2019,Exam_3,Long Answer,2,Medium,Genetics,1,2024,3/26/2023,,,,,,,,,,
Q0234,Computer Science,2020,Exam_1,Short Answer,5,Hard,Mechanics,2,2022,8/14/2018,,,,,,,,,,
Q0235,Maths,2021,Exam_5,MCQ,10,Hard,Algebra,4,2023,2/26/2021,,,,,,,,,,
Q0236,Maths,2015,Exam_2,MCQ,15,Easy,Organic,10,2021,3/27/2016,,,,,,,,,,
Q0237,Biology,2017,Exam_1,MCQ,5,Medium,Algebra,0,2022,7/27/2015,,,,,,,,,,
Q0238,Maths,2016,Exam_5,MCQ,15,Medium,Programming,8,2024,8/17/2017,,,,,,,,,,
Q0239,Maths,2024,Exam_3,Long Answer,15,Hard,Mechanics,0,2025,12-01-2022,,,,,,,,,,
Q0240,Chemistry,2024,Exam_3,MCQ,10,Easy,Genetics,6,2025,8/30/2020,,,,,,,,,,
Q0241,Computer Science,2020,Exam_1,Long Answer,2,Medium,Programming,2,2022,10-02-2021,,,,,,,,,,
Q0242,Biology,2021,Exam_2,Numerical,15,Easy,Genetics,10,2023,10/17/2018,,,,,,,,,,
